word,count,desc_count,fn_count,tier,source,example1,example2,example3
metallic,1335,1247,88,new,both,Light metallic sound resembling a screw with a subtle vibrato effect.,"Clean, metallic ping with a bright, shimmering tone.",Metallic sound with a sparkling quality and a subtle vibrato effect.
single,1334,767,567,new,both,Single long creak in pain in the distance.,Single long and slightly raspy creak in pain.,Single long and shaky creak in pain.
sequence,1172,423,749,new,both,"Wild. Steady, continuous beak clapping sequence. Multiple birds at the end. Mono, Sanken Co100K high frequency response.","Wild. Steady, continuous beak clapping sequence. Multiple birds at the end.",Long and continuous sequence of breathing with guttural vocal expression in between.
sound,1164,1161,3,new,both,"Gritty, crunching impact sound paired with a sharp burst of static.",Gritty impact with a pronounced crunch sound.,Noisy impact featuring a pronounced crunch sound.
texture,1141,579,562,new,both,Robotic motion with granular texture.,Constant glimmering with granular texture.,"Swift synthesized movement with tonal variations, featuring a warped effect and filtered texture."
thud,1124,1106,18,new,both,"PROCESSED HIT HIGH Heavy and hard thud, with some reverb.",PROCESSED HIT HIGH Heavy thud with some creaking at the end.,PROCESSED HIT LOW Distorted and heavy thud like sound.
noise,1109,857,252,new,both,"Crisp, quivering impact noise with a rising white noise effect.","Deep, resonant thump combined with a burst of static noise.",Abrupt burst of white noise followed by a bouncing effect.
elements,1104,1104,0,new,desc,Extended synthesized movement featuring a fluttering noise with random shimmering elements.,"Brief, glitchy sharp accent characterised by noise and tonal elements.",High-pitched glitchy sharp accent with tonal elements.
male,1056,526,530,new,both,"Zombie, Alien, Extraterrestrial, Mutate. Male voice, sucking in air with cheek movement. Mono, Sanken Co100K high frequency response.","Zombie, Alien, Extraterrestrial, Mutate. Male voice, sucking in air with cheek movement.","Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, sad and weird jabbering. Mono, Sanken Co100K high frequency response"
voice,1021,765,256,new,both,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water. Mono, Sanken Co100K high frequency response.","Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water.","Kazoo. Female voice, raspy moan in plastic kazoo. Mono, Sanken Co100K high frequency response."
like,989,975,14,new,both,Gemstone-like sizzling with gleaming shimmering tails.,Tinkling and sizzling with bell-like jingling in the tail.,UI select element with a fragment-like quality.
close,988,693,295,new,both,"PROCESSED FLY BY Passing roar and deep rumble, like plane flying by in close distance.","SYNTHETIC FLY BY Deep roar, resembling thunderstorm from up close.",A massive mob of women whining and whimpering with sparse expressions at a very close distance. Ready to use loop.
deep,984,883,101,new,both,"Domestic, Bactrian, Mammal. Deep, aggressive growling and groaning. Mono, Sanken Co100K high frequency response.","Domestic, Bactrian, Mammal. Deep, aggressive growling and groaning.","Domestic, Bactrian, Mammal. Deep, low, throaty moaning, growling and groaning. Mono, Sanken Co100K high frequency response."
processed,979,412,567,new,both,"Punch, Hit. Hard, slightly raspy impact. Heavily processed.","Hit, Punch. Hard, resonant impact with subtle tail. Heavily processed.","Hit, Punch. Hard, low, resonant impact with subtle tail. Heavily processed."
burst,971,509,462,new,both,"Whistle, Instrument. Short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response.","Instrument. Very short, impactful, hissing air burst. Mono, Sanken Co100K high frequency response.","Instrument. Very short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response."
tail,946,758,188,new,both,"Hit, Punch. Hard, resonant impact with subtle tail. Heavily processed.","Hit, Punch. Hard, low, resonant impact with subtle tail. Heavily processed.","Hit, Punch. Hard impact with fluttering tail. Heavily processed."
pitch,940,850,90,new,both,"Wild. Calm, high, tonal, screaming with stable pitch and subtle clucking at the beginning. Mono, Sanken Co100K high frequency response.","Wild. Calm, high, tonal, screaming with stable pitch and subtle clucking at the beginning.","Wild. Curious, high, tonal screaming with very fast vibrato and stable pitch. Mono, Sanken Co100K high frequency response."
quick,936,925,11,new,both,"Quick, simple jolt combined with a filtered burst of noise.",Quick motion sound with grains fluttering prominently.,Particle quivering with quick and rapid motions.
constant,935,116,819,new,both,Constant glimmering with granular texture.,Glimmering dreamy bell sound with constant stick.,"SYNTHETIC MOVEMENT CONTINUOUS Long, constant wobbling and fluttering with filter modulation."
rattling,897,874,23,new,both,"PROCESSED RUPTURE Heavy rattling and shaking, similar to rock being demolished.","PROCESSED HIT HIGH Smashing, followed by light rattling.","SYNTHETIC HIT LOW Hard hit, followed by soft rattling, similar to stones scattering."
sharp,880,840,40,new,both,"Gritty, crunching impact sound paired with a sharp burst of static.","Small, distorted jolt with a gritty, crackling noise and a sharp impact.","Brief, sharp snapping impact with a burst of static."
open,837,760,77,new,both,"UI tick characterised by a shuttering popping open action, with a metallic resonance.",Quick and short sliding of an open plastic toolbox on parquet with a subtle noisy and slightly tonal elements.,A squad of 10 women whining and whimpering. Recorded in an open field  with an AB setup at medium distance.
synth,809,78,731,new,both,"Brief, impactful sharp accent characterised by an ascending synth sweep that accelerates.","Synthesized sound designed to convey acceptance or confirmation, characterized by a high frequency synth.",Long synth whoosh characterized by its deep and resonant nature.
attack,801,626,175,new,both,"Vibration, Whisking. Very low, tonal rubbing and moaning with fast stuttering and subtle attack at the beginning. Mono, Sanken Co100K high frequency r","PROCESSED RUPTURE Hard, distorting attack with ripping, noisy element fading out with closing filter.","PROCESSED RUPTURE Hard and distorted attack, followed by loud and crack like sound."
crunch,786,608,178,new,both,Gritty impact with a pronounced crunch sound.,"Noisy, thudding impact combined with a distinct crunch.",Noisy impact featuring a pronounced crunch sound.
strong,773,763,10,new,both,Potent burst of white noise reminiscent of a strong punch.,"PROCESSED FLY BY Strong rumble with burst of speed, like wind gust.","PROCESSED FLY BY Strong and quick rumble, with crumble at the end."
light,766,577,189,new,both,Light ping sound with rising pitch.,Light metallic sound resembling a screw with a subtle vibrato effect.,Light tonal ping sound with a wobble effect.
sanken,763,762,1,new,both,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response."
water,760,411,349,new,both,"SYNTHETIC HIT LOW Wet and hard hit, followed by cracking and scattering, resembling water droplets falling down.","SYNTHETIC MOVEMENT CONTINUOUS Wet and hard rattle like sound, like a large creature rapidly moving around in water.","SYNTHETIC MOVEMENT CONTINUOUS Distorted rumble, similar to burble of the water."
airy,749,682,67,new,both,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Very short, airy snorting.","Wild, Marine, Mammal. Calm groaning with airy snorting at the end. Mono, Sanken Co100K high frequency response."
recorded,742,742,0,new,desc,A squad of 10 women whining and whimpering. Recorded in an open field  with an AB setup at medium distance.,A squad of 10 women whining and whimpering. Recorded in an open field  with a MS setup at medium distance.,A squad of 10 women whining and whimpering. Recorded in an open field  with a MS setup at a distance.
plastic,735,407,328,new,both,"Plastic, Inflation. Airy, steady, continuous and slightly tonal breathing with varying speed and intensity. Mono, Sanken Co100K high frequency respons","Plastic, Toy, Air, Pipe. High, eerie, tonal screaming and screeching with varying pitch. Mono, Sanken Co100K high frequency response.","Plastic, Toy, Air, Pipe. Low, eerie, tonal screaming and screeching with varying pitch. Mono, Sanken Co100K high frequency response."
setup,734,734,0,new,desc,A squad of 10 women whining and whimpering. Recorded in an open field  with an AB setup at medium distance.,A squad of 10 women whining and whimpering. Recorded in an open field  with a MS setup at medium distance.,A squad of 10 women whining and whimpering. Recorded in an open field  with a MS setup at a distance.
squad,733,733,0,new,desc,A squad of 10 women whining and whimpering. Recorded in an open field  with an AB setup at medium distance.,A squad of 10 women whining and whimpering. Recorded in an open field  with a MS setup at medium distance.,A squad of 10 women whining and whimpering. Recorded in an open field  with a MS setup at a distance.
field,730,716,14,new,both,"Water displacement with precise water sparkles, a wide stereo field and a medium long tail.","Water displacement with more subtle water sparkles, a wide stereo field and a medium long tail.",A squad of 10 women whining and whimpering. Recorded in an open field  with an AB setup at medium distance.
scrape,722,234,488,new,both,"Scrape. Tonal, slightly raspy scraping and moaning. Mono, Sanken Co100K high frequency response.","Scrape. Slightly tonal rubbing and moaning with fast stuttering. Mono, Sanken Co100K high frequency response.","Scrape. Short, tonal moaning and groaning. Mono, Sanken Co100K high frequency response."
resonant,720,602,118,new,both,"Whistle, Instrument. Harsh, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response.","Whistle, Instrument. Calm, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response.","Vibration, Whisking. Raspy, resonant rubbing with slow stuttering. Mono, Sanken Co100K high frequency response."
heavy,719,590,129,new,both,"Wild. Very low, booming, bass heavy thumping sequences. Mono, Sanken Co100K high frequency response.","Wild. Very low, booming, bass heavy thumping sequences.","Wild. Very low, soft, booming, bass heavy thumping sequences. Mono, Sanken Co100K high frequency response."
gun,716,123,593,new,both,"SYNTHETIC FRACTION Shooting screech, like from a laser gun.","Antique artillery, historic cannon long gun, cal 38mm. ORTF3D Hi positioned 150m away from the cannon.","Antique artillery, historic cannon long gun, cal 38mm. ORTF3D Lo positioned 150m away from the cannon."
distance,705,695,10,new,both,Single long creak in pain in the distance.,"PROCESSED FLY BY Passing roar and deep rumble, like plane flying by in close distance.","Steel cannon, cal 27mm. Single blasts from a distance with softer attack and a smooth, wide tail."
wood,686,218,468,new,both,"Wood, Instrument, Friction. Slightly tonal, raspy moaning with stuttering. Mono, Sanken Co100K high frequency response.","Wood, Instrument, Friction. Slightly tonal, raspy moaning with varying movement and stuttering. Mono, Sanken Co100K high frequency response.","Wood, Instrument, Friction. Slightly tonal, raspy moaning and stuttering with decreasing tension. Mono, Sanken Co100K high frequency response."
big,684,543,141,new,both,"SYNTHETIC DECAY Heavy roaring and fluttering, as if a big structure being shaken by explosion.","SYNTHETIC MOVEMENT CONTINUOUS Shaking and rattling, resembling big stones breaking.",Big metallic chain being dropped. Lot of rattling.
motion,678,648,30,new,both,Rapid motion with a chaotic wobble effect.,"Rapid motion featuring a """"Radar"""" effect and a warping impact.",Rapid motion with a filter slash effect.
various,652,647,5,new,both,"PROCESSED MOVEMENT CONTINUOUS Continuous and distorted crackling, with various birds chirping.",Processed zapper with rumbling of various lengths.,Paintball gun reloaded. Various clicks and clanks.
instances,641,641,0,unknown,desc,"Strong attack with mallet, broad wash, sustaining approximately 12 seconds. Various instances. Reverberant.","Strong attack with mallet, broad wash, sustaining approximately 12 seconds. Various instances. Ambient.","Strong attack with mallet, broad wash, sustaining approximately 12 seconds. Various instances. Dry."
xy,626,319,307,new,both,"Antique artillery, historic cannon, cal 27mm. XY positioned 15m away from the cannon.","Antique artillery, historic cannon, cal 27mm. XY handheld recorder positioned 175m away from the cannon.","Antique artillery, historic cannon, cal 56mm. XY handheld recorder positioned 175m away from the cannon."
hits,625,602,23,new,both,"PROCESSED HIT LOW Long and muffled hits. Deep and light impact, with feedback.",PROCESSED DECAY Short and quick bursts of distorted hits.,"PROCESSED FRACTION Short and hard hits, like fast stomping."
footstep,594,594,0,unknown,desc,"FOOTSTEP SMALL IMPACT High-frequency, clicking, rattling. Several close transients. Short burst.","FOOTSTEP MEDIUM IMPACT Clicking, rattling. Several close transients. Short burst.","FOOTSTEP MEDIUM IMPACT High-frequency, clicking, rattling. Several close transients. Short burst."
rustling,592,588,4,new,both,"PROCESSED HIT HIGH Hard hit, with short and hard rustling upon impact.",Textile movement with some flapping and rustling.,Textile being hit. Rustling and hollow elements.
female,582,242,340,new,both,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water. Mono, Sanken Co100K high frequency response.","Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water.","Kazoo. Female voice, raspy moan in plastic kazoo. Mono, Sanken Co100K high frequency response."
air,579,311,268,new,both,"Whistle, Instrument. Short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response.","Whistle, Instrument. Harsh, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response.","Whistle, Instrument. Calm, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response."
continuous,577,565,12,new,both,"Wild, Mammal. Steady, continuous, throaty grunting, snarling and growling. Mono, Sanken Co100K high frequency response.","Wild. Steady, continuous beak clapping sequence. Multiple birds at the end. Mono, Sanken Co100K high frequency response.","Wild. Steady, continuous beak clapping sequence. Multiple birds at the end."
wet,571,396,175,new,both,"Breathing, Inhale, Exhale. Slightly wet, airy, resonant inhaling and exhaling with low transients. Mono, Sanken Co100K high frequency response.","Force Cup. Wet, resonant impacts with splashing at the end. Mono, Sanken Co100K high frequency response.","Force Cup. Wet, tight, resonant impacts with splashing at the end. Mono, Sanken Co100K high frequency response."
women,559,559,0,new,desc,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to use loop.,A massive mob of women whining and whimpering with sparse expressions at a very close distance. Ready to use loop.,A massive mob of women whining and whimpering with sparse expressions at a distance. Ready to use loop.
men,559,559,0,new,desc,An enormous troop of men whining and whimpering with sparse expressions far away with a washed out character. Ready to use loop.,A massive mob of men whining and whimpering with sparse expressions at a very close distance. Ready to use loop.,A massive mob of men whining and whimpering with sparse expressions at a distance. Ready to use loop.
ms,559,284,275,new,both,"Antique artillery, historic cannon, cal 27mm. MS shotgun microphone positioned 20m away from the cannon.","Antique artillery, historic cannon, cal 27mm. MS positioned 5m away from the cannon.","Antique artillery, historic cannon, cal 56mm. MS shotgun microphone positioned 15m away from the cannon."
one,551,179,372,new,both,"SYNTHETIC DECAY Rumbly whoosh, screech like, with double screech in one variation.",The burning of one matchstick.,Static synthetic pitch followed by rise in pitch at varying speeds. Sometimes stops on one pitch in the middle.
drop,546,379,167,new,both,Pick up big metallic piece and drop it on wooden surface. Ringing and rattling.,Short drop with subtle rattling elements.,Dull and hollow drop with rattling on surface.
synthetic,545,501,44,new,both,Rubbery sizzling synthetic with fluctuating pitch modulation.,"Quick-moving synthetic scream with a shifting, intense quality.",Synthetic translucent glimmering with frequency-shifted delay.
ringing,540,512,28,new,both,Sharp accent characterised by a sine shift and high ringing.,Hitting metallic chain. Rattling and ringing.,Movement for chain shot with ringing and rattling.
rapid,536,518,18,new,both,"Rapid, aggressive zip sound.",Rapid motion with a chaotic wobble effect.,"Rapid motion featuring a """"Radar"""" effect and a warping impact."
dry,534,359,175,new,both,Sharp accent characterised by dry medium modulation.,Sharp accent characterised by dry short modulation.,Short whooshing noise resembling the rustling of dry grass.
followed,530,530,0,new,desc,Abrupt burst of white noise followed by a bouncing effect.,Snapping impact followed by a trailing burst of static.,"PROCESSED RUPTURE Heavy explosion and rumbling, followed by demolition of a structure."
subtle,523,493,30,new,both,"Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning.","Wild, Marine, Mammal. Short snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response."
fire,522,118,404,new,both,"SYNTHETIC RUPTURE Short and deep growl, resembling fire whirl.","SYNTHETIC FLY BY Roaring and crackling, with declining intensity, resembling fire being put out.","SYNTHETIC FLY BY Burst of rumble and flutter, like shooting heavy fire."
rumble,507,472,35,new,both,"PROCESSED RUPTURE Hard and distorted rumble, similar to start of an explosion.","PROCESSED HIT LOW Heavy, deep, and wet thumps, with rumble like feedback.","PROCESSED SCREECH SHORT High pitch screech, with short rumble and feedback."
body,498,460,38,new,both,"Large and heavy, quick pass by whooshes. Like a large celestial body passing by.","Large and heavy, slow pass by whooshes. Like a large celestial body passing by.","Slow whooshing pass by elements with rumbling, rotating and warping elements on top. Like a pass bys of a large celestial body."
firing,494,138,356,mid,both,"Antique artillery bombardment, multiple historic cannons firing in sequence. XY positioned 100m away from cannons.","Antique artillery bombardment, multiple historic cannons firing in sequence. XY positioned 120m away from cannons.","Antique artillery bombardment, multiple historic cannons firing in sequence. MS positioned 130m away from cannons."
leather,494,107,387,new,both,Hitting wooden piece with leather. Dull with some rattling.,"Forceful thump as a leather bag makes contact with a surface, accompanied by the distinct sound of a resonating zipper jingle.","Powerful collision between a textile material and a surface, distinguished by the fusion of plush fabric and the distinctive texture of leather."
scream,489,331,158,new,both,"Wild. High, desperate, tonal scream with unstable pitch. Mono, Sanken Co100K high frequency response.","Wild. High, desperate, tonal scream with unstable pitch.","Wild. High, intensive, desperate, tonal scream with unstable pitch. Mono, Sanken Co100K high frequency response."
swoosh,486,484,2,new,both,Sound captures the light and airy swoosh as the page moves swiftly through the air.,"Power movement, dense liquid, living fluid swoosh.","Short laser shot, energy sword swoosh."
aggressive,478,272,206,new,both,"Domestic, Mammal. Aggressive, tonal snarling and growling. Mono, Sanken Co100K high frequency response.","Domestic, Mammal. Aggressive, tonal snarling and growling.","Domestic, Farm, Swine, Mammal. Aggressive, low, tonal grunting and squealing. Mono, Sanken Co100K high frequency response."
clang,476,472,4,new,both,PROCESSED FRACTION Short and high pitch clang like sound.,"PROCESSED FRACTION Metallic clang in sweeping motion, like sharpening a knife.","SYNTHETIC SCREECH SHORT Piercing screech, resembling loud clang, with low rumble, and decreasing intensity."
raspy,473,428,45,new,both,"Wild, Marine, Mammal. Agitated, raspy, tonal screaming and moaning. Underwater hydrophone recording.","Wild, Marine, Mammal. Agitated, funny, raspy, tonal screaming and moaning. Underwater hydrophone recording.","Wild, Marine, Mammal. Raspy, low snarling and growling. Underwater hydrophone recording."
away,469,467,2,new,both,"Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon.","Antique artillery, historic cannon, cal 27mm. ORTF3D Lo positioned 150m away from the cannon.","Antique artillery, historic cannon, cal 27mm. XY positioned 15m away from the cannon."
distorted,468,300,168,new,both,"Small, distorted jolt with a gritty, crackling noise and a sharp impact.",Gritty and distorted whoosh characterised by noise.,"Extended detonation characterised by a deep, rugged, and distorted tail."
punch,468,294,174,new,both,"Punch, Hit. Hard, slightly raspy impact. Heavily processed.","Hit, Punch. Hard, resonant impact with subtle tail. Heavily processed.","Hit, Punch. Hard, low, resonant impact with subtle tail. Heavily processed."
rattle,462,259,203,new,both,"PROCESSED FRACTION Short and metallic rattle, resembling shaking of a small chain.","SYNTHETIC RUPTURE Light hit, followed by rattle, like quick shaking of a board.","SYNTHETIC RUPTURE Hit and rattle, followed by soft growl."
hand,459,120,339,new,both,Debris rippling from hand on stone slab.,Action of a card being dropped into a hand.,"Action of dropping dice into a hand from a cup, capturing the distinct noise of the dice falling and landing in the palm."
scraping,455,450,5,new,both,"Scrape. Tonal, slightly raspy scraping and moaning. Mono, Sanken Co100K high frequency response.","Scratch, Rub. Aggressive, raspy, resonant scraping with varying movement. Mono, Sanken Co100K high frequency response.","Scratch, Rub. Aggressive, raspy, resonant scraping. Mono, Sanken Co100K high frequency response."
snap,450,218,232,new,both,"SYNTHETIC HIT LOW Hard and whip like snap, like shooting an old pistol.",A sharp and distinctive snap produced by snapping one's fingers alongside a plastic card.,Plastic tick characterized by a distinct click or snap.
beater,447,124,323,new,both,"Violin bow pressed against cardboard and carpet beater aggressively. Long creaks, as if material tears","Carpet beater squeezed extremely tightly, in constant motion, to its maximum, producing squeaks.","Carpet beater squeezed extremely tightly to its maximum, producing squeaks."
zap,445,104,341,new,both,Sharp accent characterised by filter zap tail rising.,Sharp accent characterised by a tonal bubble zap.,Traditional “pew” zap with a filtered effect.
loop,443,222,221,new,both,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to use loop.,A massive mob of women whining and whimpering with sparse expressions at a very close distance. Ready to use loop.,A massive mob of women whining and whimpering with sparse expressions at a distance. Ready to use loop.
liquid,443,259,184,new,both,Ascending synthesized jiggle resembling liquid movement.,Jolting evoking liquid-like movements with reverberations.,"PROCESSED MOVEMENT CONTINUOUS Long, continuously, heavy rumbling and crumbling. Steady thuds and liquid like impacts."
toy,440,82,358,new,both,"Plastic, Toy, Air, Pipe. High, eerie, tonal screaming and screeching with varying pitch. Mono, Sanken Co100K high frequency response.","Plastic, Toy, Air, Pipe. Low, eerie, tonal screaming and screeching with varying pitch. Mono, Sanken Co100K high frequency response.","Plastic, Toy, Air, Pipe. Eerie, tonal screaming and screeching with varying pitch. Mono, Sanken Co100K high frequency response."
performing,435,435,0,new,desc,A massive mob of women performing a wailing scream at a very close distance.,A massive mob of women performing a wailing scream at a distance.,A horde of women performing a wailing scream at a very close distance.
transient,426,338,88,new,both,"PROCESSED FRACTION High, piercing, very short impact. Harsh transient with metallic character.",Heavy water displacement with a hard low frequency transient and a rather short tail.,Displacement with a transient character and some crisp water sparkles.
end,425,380,45,new,both,"Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Low, throaty groaning with snorts at the end.","Wild, Marine, Mammal. Calm groaning with hard snorts at the end. Mono, Sanken Co100K high frequency response."
two,425,278,147,new,both,"Tonal sound with two oscillators, frequency modulation, and long bubbly effect.","Tonal sound with two oscillators, frequency modulation, and short bubbly effect.",Tonal sound with two oscillators and long frequency modulation.
fluttering,424,416,8,new,both,"Instrument. Airy, resonant exhaling with fast, subtle fluttering. Mono, Sanken Co100K high frequency response.","Hit, Punch. Hard impact with fluttering tail. Heavily processed.","Hit, Punch. Hard impact with very slow fluttering tail. Heavily processed."
rock,421,148,273,new,both,"PROCESSED RUPTURE Heavy rattling and shaking, similar to rock being demolished.","PROCESSED MOVEMENT CONTINUOUS Wet and distorted crumbling, like stones scattering down the rock.","SYNTHETIC FLY BY Roar and crumble, like stones falling down the rock after light explosion."
zombie,420,396,24,mid,both,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water. Mono, Sanken Co100K high frequency response.","Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water.","Ghoul, Zombie, Skeleton, Undead, Mummy, Ghost, Spirit, Paranormal. Female voice, raspy snarling. Mono, Sanken Co100K high frequency response."
raw,418,9,409,new,both,Rough high speed spell burst with granular energy and raw shimmer.,Fiery burst fused with underworld heat and raw aggression.,Sharp magical rupture breaking in raw kinetic fury.
slightly,415,414,1,new,both,"Domestic, Farm, Mammal. Slightly upset braying and shrieking. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Mammal. Slightly upset braying and shrieking.","Domestic, Farm, Swine, Mammal. Curious, slightly tonal grunting. Mono, Sanken Co100K high frequency response."
cloth,415,115,300,new,both,Textile being unfold leading into soft impact with lots of rustling cloth.,Tearing apart textile. Sharp with some subtle cloth movements.,"Weighty impact as a substantial fabric material meets a surface, characterized by a texture reminiscent of thick cloth."
wind,413,139,274,new,both,Extended motioned whoosh with artificial wind gust and parallel filter modulation.,Extended motioned whoosh with artificial wind gust.,"PROCESSED FLY BY Strong rumble with burst of speed, like wind gust."
click,413,245,168,new,both,Crisp click as the latch of a travel bag securely fastens.,Firm click as the lock of a travel bag securely snaps.,Sharp and crisp click as the lid of a plastic box securely seals.
organic,411,109,302,new,both,"Organic, Vibration. Tonal, slightly raspy moaning and screeching with varying pitch. Mono, Sanken Co100K high frequency response.","Organic, Vibration. Tonal, slightly raspy moaning and screeching with varying pitch and slightly increasing tension. Mono, Sanken Co100K high frequenc","Organic, Vibration. High, tonal, slightly raspy moaning and screeching with varying pitch. Mono, Sanken Co100K high frequency response."
