word,category,count,library_count,example
motion,未分类,648,24,Rapid motion with a chaotic wobble effect.
instances,未分类,641,2,"Strong attack with mallet, broad wash, sustaining approximately 12 seconds. Various instances. Reverberant."
attack,未分类,626,24,"Vibration, Whisking. Very low, tonal rubbing and moaning with fast stuttering and subtle attack at the beginning. Mono, "
crunch,未分类,608,18,Gritty impact with a pronounced crunch sound.
resonant,Pitch,602,29,"Whistle, Instrument. Harsh, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response."
hits,未分类,602,18,"PROCESSED HIT LOW Long and muffled hits. Deep and light impact, with feedback."
footstep,未分类,594,1,"FOOTSTEP SMALL IMPACT High-frequency, clicking, rattling. Several close transients. Short burst."
metal,未分类,593,29,Metal sound with filtered pitch delay.
heavy,Intensity,590,39,"Wild. Very low, booming, bass heavy thumping sequences. Mono, Sanken Co100K high frequency response."
rustling,未分类,588,21,"PROCESSED HIT HIGH Hard hit, with short and hard rustling upon impact."
texture,未分类,579,21,Robotic motion with granular texture.
light,Intensity,577,36,Light ping sound with rising pitch.
continuous,Duration,565,23,"Wild, Mammal. Steady, continuous, throaty grunting, snarling and growling. Mono, Sanken Co100K high frequency response."
women,未分类,559,1,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to
men,未分类,559,1,An enormous troop of men whining and whimpering with sparse expressions far away with a washed out character. Ready to u
big,未分类,543,21,"SYNTHETIC DECAY Heavy roaring and fluttering, as if a big structure being shaken by explosion."
followed,未分类,530,36,Abrupt burst of white noise followed by a bouncing effect.
rapid,Duration,518,24,"Rapid, aggressive zip sound."
ringing,Pitch,512,26,Sharp accent characterised by a sine shift and high ringing.
burst,未分类,509,34,"Whistle, Instrument. Short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response."
synthetic,Texture,501,19,Rubbery sizzling synthetic with fluctuating pitch modulation.
subtle,Intensity,493,35,"Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high freque"
swoosh,未分类,484,14,Sound captures the light and airy swoosh as the page moves swiftly through the air.
rumble,未分类,472,25,"PROCESSED RUPTURE Hard and distorted rumble, similar to start of an explosion."
clang,未分类,472,17,PROCESSED FRACTION Short and high pitch clang like sound.
away,未分类,467,10,"Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."
body,未分类,460,15,"Large and heavy, quick pass by whooshes. Like a large celestial body passing by."
scraping,未分类,450,27,"Scrape. Tonal, slightly raspy scraping and moaning. Mono, Sanken Co100K high frequency response."
performing,未分类,435,1,A massive mob of women performing a wailing scream at a very close distance.
raspy,Voice,428,16,"Wild, Marine, Mammal. Agitated, raspy, tonal screaming and moaning. Underwater hydrophone recording."
sequence,未分类,423,26,"Wild. Steady, continuous beak clapping sequence. Multiple birds at the end. Mono, Sanken Co100K high frequency response."
fluttering,Movement,416,27,"Instrument. Airy, resonant exhaling with fast, subtle fluttering. Mono, Sanken Co100K high frequency response."
slightly,未分类,414,28,"Domestic, Farm, Mammal. Slightly upset braying and shrieking. Mono, Sanken Co100K high frequency response."
processed,未分类,412,19,"Punch, Hit. Hard, slightly raspy impact. Heavily processed."
water,未分类,411,21,"SYNTHETIC HIT LOW Wet and hard hit, followed by cracking and scattering, resembling water droplets falling down."
plastic,Material,407,20,"Plastic, Inflation. Airy, steady, continuous and slightly tonal breathing with varying speed and intensity. Mono, Sanken"
wet,Texture,396,20,"Breathing, Inhale, Exhale. Slightly wet, airy, resonant inhaling and exhaling with low transients. Mono, Sanken Co100K h"
zombie,未分类,396,2,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water. Mono, Sanken Co100K high frequency response."
slight,Intensity,388,24,Laser noise with a slight sweeping bubble-up effect.
ambient,Space,382,8,"Tiny, faint ambient textures with soft, minimal background noise."
drop,未分类,379,18,Pick up big metallic piece and drop it on wooden surface. Ringing and rattling.
quickly,未分类,374,22,SYNTHETIC FLY BY Heavy rumble closing in and backing up quickly.
reverberant,未分类,374,18,"Processed thud with noisy, slightly reverberant tail."
moaning,Voice,370,18,"Wild, Marine, Mammal. Curious, low, tonal moaning and screaming. Underwater hydrophone recording."
screaming,Voice,370,14,"Wild, Marine, Mammal. Curious, low, tonal moaning and screaming. Underwater hydrophone recording."
dry,Texture,359,15,Sharp accent characterised by dry medium modulation.
surface,未分类,351,19,"PROCESSED HIT LOW Deep and heavy thuds, like dropping a heavy object on a solid surface, with feedback."
dense,Shape,347,28,Processed shot with heavy detonation and dense tail.
undead,未分类,344,2,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water. Mono, Sanken Co100K high frequency response."
transient,未分类,338,13,"PROCESSED FRACTION High, piercing, very short impact. Harsh transient with metallic character."
crunchy,Texture,332,24,"Small, crunchy impact noise accompanied by a brief burst of static."
scream,未分类,331,8,"Wild. High, desperate, tonal scream with unstable pitch. Mono, Sanken Co100K high frequency response."
mammal,未分类,323,1,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response."
xy,未分类,319,3,"Antique artillery, historic cannon, cal 27mm. XY positioned 15m away from the cannon."
additional,未分类,319,5,Whooshing sound of a leather textile rustling with additional short flapping squeaks.
friction,未分类,316,18,"Wood, Instrument, Friction. Slightly tonal, raspy moaning with stuttering. Mono, Sanken Co100K high frequency response."
impacts,未分类,316,27,"Force Cup. Wet, resonant impacts with splashing at the end. Mono, Sanken Co100K high frequency response."
sizzling,未分类,315,22,"Air, Breath, Inhale, Exhale. Long, airy, hissing bursts with sizzling at the end. Mono, Sanken Co100K high frequency res"
air,未分类,311,29,"Whistle, Instrument. Short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response."
sustained,Duration,304,20,"Sustained synthesized movement with a rising pitch, featuring a mouth-generated phaser effect."
rumbling,未分类,303,34,PROCESSED RUPTURE Heavy rumbling detonation like impact with flame like roaring in tail.
slowly,未分类,301,25,Big metallic chain being dropped slowly. Lot of rattling and several impacts.
distorted,未分类,300,29,"Small, distorted jolt with a gritty, crackling noise and a sharp impact."
punch,未分类,294,25,"Punch, Hit. Hard, slightly raspy impact. Heavily processed."
producing,未分类,291,10,"Short, dynamic sharp accent characterized by frequency modulation, producing a warping effect."
pass,未分类,290,18,White noise impact filtered through a high-pass frequency.
falling,Movement,290,25,Jolt with high freq falling effect.
ghoul,未分类,290,2,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water. Mono, Sanken Co100K high frequency response."
skeleton,未分类,286,3,"UI tick that conveys movement or access, characterised by a skeleton or bone-like characteristic."
tone,未分类,285,27,"Classic, shimmering sound with a sharp, clear tone."
ms,未分类,284,3,"Antique artillery, historic cannon, cal 27mm. MS shotgun microphone positioned 20m away from the cannon."
mummy,未分类,284,1,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water. Mono, Sanken Co100K high frequency response."
stuttering,Movement,282,16,"Wild, Ratel, Mammal. Angry, tonal growling and snarling with fast stuttering. Mono, Sanken Co100K high frequency respons"
growling,Voice,280,12,"Wild, Marine, Mammal. Raspy, low snarling and growling. Underwater hydrophone recording."
aggressive,Mood,272,22,"Domestic, Mammal. Aggressive, tonal snarling and growling. Mono, Sanken Co100K high frequency response."
mm,未分类,266,4,"Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."
dragging,未分类,264,13,Long dragging of a textile elements with high friction elements on top.
whooshes,未分类,263,14,Deep and buzz like whooshes with changing intensity.
blast,未分类,261,17,Blast of white noise distinguished by a tonal delay effect.
dull,Pitch,261,22,Whoosh characterised by a basic dull noise filter.
hollow,Shape,260,25,Textile being hit. Rustling and hollow elements.
liquid,未分类,259,28,Ascending synthesized jiggle resembling liquid movement.
rattle,未分类,259,24,"PROCESSED FRACTION Short and metallic rattle, resembling shaking of a small chain."
screeching,未分类,255,11,"Domestic, Farm, Swine, Mammal. Curious, high, tonal screaming, screeching and squealing. Mono, Sanken Co100K high freque"
intensity,未分类,253,22,"Plastic, Inflation. Airy, steady, continuous and slightly tonal breathing with varying speed and intensity. Mono, Sanken"
effect,未分类,253,19,"Crisp, quivering impact noise with a rising white noise effect."
ground,未分类,253,14,"PROCESSED FRACTION Short and hard hits, like stomping on a wet ground."
antique,未分类,253,1,"Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."
artillery,未分类,253,1,"Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."
historic,未分类,253,1,"Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."
positioned,未分类,253,1,"Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."
fantasy,未分类,253,3,"Orc, Ogre, Cyclops, Fantasy. Female voice, growling aggressively. Mono, Sanken Co100K high frequency response."
throaty,Voice,252,8,"Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response."
flapping,Movement,250,13,"SYNTHETIC SCREECH LONG Sharp flutter, followed by hard flapping, like blade slap of a helicopter."
crunching,未分类,248,13,"Gritty, crunching impact sound paired with a sharp burst of static."
pitched,Pitch,247,29,"High-pitched, glassy shimmer with a noisy undertone."
shot,未分类,247,15,"Sharp accent characterised by a saw wave, white noise, and dual delay shot."
shaking,Movement,247,18,"PROCESSED RUPTURE Distorted and hard hit, with cracking and shaking."
click,Attack,245,15,Crisp click as the latch of a travel bag securely fastens.
mechanism,未分类,239,8,Gun is cocked quickly. Click produced as mechanism slides.
moving,未分类,238,31,Rapid-moving sound with a frequency-filtered fluid effect.
clicking,Voice,237,14,"Domestic, Mammal. Long, throaty growling, groaning, snarling and clicking. Mono, Sanken Co100K high frequency response."
sweep,未分类,236,19,Light flutter characterised by a magic sweep up.
scrape,未分类,234,16,"Scrape. Tonal, slightly raspy scraping and moaning. Mono, Sanken Co100K high frequency response."
moderate,Intensity,234,12,Extended explosion noise with moderate distortion and white noise.
succession,未分类,234,4,Clinks and clatters as screws are dropped twice in quick succession and make contact with the ceramic surface of the cup
powerful,Intensity,231,18,"Short, powerful sharp accent characterised by an ascending pitch and wobble effect."
cal,未分类,228,2,"Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."
sliding,Movement,223,24,Sediment being dropped. Sliding and rustling elements.
crackling,未分类,222,25,"Small, distorted jolt with a gritty, crackling noise and a sharp impact."
bright,Pitch,222,17,"Clean, metallic ping with a bright, shimmering tone."
loop,未分类,222,5,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to
snarling,Voice,219,5,"Wild, Marine, Mammal. Raspy, low snarling and growling. Underwater hydrophone recording."
wood,未分类,218,16,"Wood, Instrument, Friction. Slightly tonal, raspy moaning with stuttering. Mono, Sanken Co100K high frequency response."
burning,未分类,218,13,"PROCESSED DECAY Soft and distorted crackling, resembling burning and flame dispersion."
snap,Attack,218,24,"SYNTHETIC HIT LOW Hard and whip like snap, like shooting an old pistol."
use,未分类,217,2,"Action of knocking on a table, specifically tailored for use in card games or tabletop gaming scenarios."
expressions,未分类,216,1,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to
ready,未分类,216,1,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to
scratch,未分类,212,11,"Scratch, Rub. Aggressive, raspy, resonant scraping with varying movement. Mono, Sanken Co100K high frequency response."
steady,Movement,208,28,"Wild, Mammal. Steady, continuous, throaty grunting, snarling and growling. Mono, Sanken Co100K high frequency response."
leading,未分类,207,17,Textile being unfold leading into soft impact.
heavily,Intensity,204,18,"Punch, Hit. Hard, slightly raspy impact. Heavily processed."
release,未分类,203,25,Pressurised release of high-pitched tonal impact.
fly,未分类,203,10,"PROCESSED SCREECH SHORT Continuous screech, with fluttering and feedback. Fly by of unknown flight object."
tight,Attack,201,22,"Force Cup. Wet, tight, resonant impacts with splashing at the end. Mono, Sanken Co100K high frequency response."
wooden,Material,200,14,"SYNTHETIC HIT HIGH Distorted bangs, resembling hard hits on a wooden door."
varying,未分类,198,16,"Plastic, Inflation. Airy, steady, continuous and slightly tonal breathing with varying speed and intensity. Mono, Sanken"
layered,Shape,197,13,"Complex airy rope suction, featuring a nuanced and layered whooshing noise."
thin,Pitch,195,20,"Thin wooden hit with very light, metallic rattling."
debris,未分类,193,18,Dropping pile of dirt. Lots of small debris elements hitting the ground.
cannon,未分类,192,6,Extended explosion noise reminiscent of a cannon blast.
modulation,未分类,190,17,Bell sound with a modulation effect.
energy,未分类,190,19,Quick motion noise suggesting energy activation.
squeak,未分类,190,15,Plastic tick characterized by a distinctive squeak and chunky click.
laser,未分类,187,19,"Fluctuating jiggle with a laser-like quality, featuring a pitch shift and delay."
swing,未分类,186,5,Quick swinging of socks. Fast and rigid swing of a textile.
flame,未分类,185,8,PROCESSED RUPTURE Heavy rumbling detonation like impact with flame like roaring in tail.
squeal,未分类,183,7,"PROCESSED SCREECH SHORT Continuous squeal, with buzzing."
domestic,未分类,182,1,"Domestic, Mammal. Long, throaty growling, groaning, snarling and clicking. Mono, Sanken Co100K high frequency response."
whooshing,未分类,182,10,"Long, energetic descending whooshing sweeps."
upper,未分类,182,9,"Bass dub hit with upper harmonics present, warping through the air."
hitting,未分类,181,18,SYNTHETIC HIT LOW Harsh hitting attack with stuttering wobble in tail.
filtered,未分类,180,20,"Quick, simple jolt combined with a filtered burst of noise."
glass,未分类,179,14,"Gleaming effect characterised by a frequency shift, glass scrape, and pitch delay."
pieces,未分类,179,13,Metallic chain being dropped on metallic pieces.
muffled,未分类,177,20,"Synthesized jolt characterised by its sharp, textured, and muffled impact."
environment,未分类,177,2,A solo woman performing suffering moans in a studio environment.
back,未分类,176,22,Punch noise emulating a back smack.
solo,未分类,176,1,A solo woman performing suffering moans in a studio environment.
modulated,未分类,175,20,"Synthesized metal impact with a warped, modulated effect."
vocal,未分类,175,14,Tonal sound with long filter creature vocal.
percussion,未分类,175,4,"Sharp, percussion produced when two hands come together forcefully."
smooth,Texture,174,15,"Traditional, smooth sharp accent characterised by a wet texture."
buzzing,Pitch,174,17,"PROCESSED SCREECH LONG Continuous buzzing, with changing register. Separate, descending, and short fragments at the end."
splash,未分类,174,11,Water splash sound with mainly high and mid frequencies and some water sparkles.
gritty,Texture,173,22,"Domestic, Farm, Swine, Mammal. Aggressive, gritty grunting, growling, squealing and screaming. Mono, Sanken Co100K high "
massive,未分类,173,21,Extended explosion noise that is incredibly massive.
harsh,Mood,170,24,"Whistle, Instrument. Harsh, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response."
duration,未分类,170,10,Long-duration deformed burst with rapid palpitated effects.
clicks,未分类,170,13,Stable and continuous clicks. Different pitch in each variation.
ab,未分类,169,3,"Antique artillery, historic cannon, cal 27mm. Small AB positioned 1m away from the cannon."
scooping,未分类,169,2,"FOOTSTEP LARGE IMPACT Scooping, dragging then low thud and crunch. Fast decay."
hissing,Voice,168,17,"Wild, Cat, Feline, Predator, Mammal. Slightly threatening hissing and snarling. Mono, Sanken Co100K high frequency respo"
flutter,未分类,168,18,Rapid motion with neutral noise bubble flutter.
scratching,未分类,167,9,"Scratch, Tear. Raspy, aggressive scratching with movement. Mono, Sanken Co100K high frequency response."
noisy,未分类,166,23,"Noisy, thudding impact combined with a distinct crunch."
warping,未分类,166,10,"Rapid motion featuring a ""Radar"" effect and a warping impact."
sounds,未分类,165,21,Futuristic and friendly tonal essence reminiscent of sounds associated with androids or advanced technology.
several,未分类,164,19,Big metallic chain being dropped slowly. Lot of rattling and several impacts.
caliber,未分类,164,2,"PISTOL Caliber .454, distant, 16m distance, HH stereo."
normal,未分类,163,5,Gun toy clicks as it spins at normal speed.
grunting,Voice,162,6,"Wild, Marine, Mammal. Tonal grunting with throaty groaning. Mono, Sanken Co100K high frequency response."
screech,未分类,162,14,"PROCESSED SCREECH LONG Loud, continuous, and shriek like sound, with stuttering bass."
instrument,未分类,161,3,"Whistle, Instrument. Short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response."
punchy,Attack,160,18,"Instrument. Punchy, short, tonal moaning and groaning. Mono, Sanken Co100K high frequency response."
characterized,未分类,160,2,"Impactful burst of white noise characterized by a vintage, old-school punch."
old,未分类,159,8,"Impactful burst of white noise characterized by a vintage, old-school punch."
resembling,未分类,159,5,Light metallic sound resembling a screw with a subtle vibrato effect.
tick,未分类,158,3,Digital tick sound associated with confirming or accepting an action.
bubbling,Liquid,157,23,"Fluid, bubbling jiggle resembling the movement of a wet sphere."
textured,Texture,156,11,"Rough, textured jiggle with a delayed effect."
thick,Pitch,156,16,"Weighty impact as a substantial fabric material meets a surface, characterized by a texture reminiscent of thick cloth."
played,未分类,155,3,Mystical and ethereal tones of a glass chime played in reverse.
rising,Movement,154,24,"Wild, Scavenger. High, tonal screaming and screeching with rising pitch. Mono, Sanken Co100K high frequency response."
electric,未分类,154,24,Traditional yet energetic sharp accent characterized by an electric quality.
strike,Attack,154,20,Brief explosion noise reminiscent of a distant strike.
crushing,未分类,154,14,Loose hit with a lot of crushing debris.
panicking,未分类,154,1,An enormous troop of women panicking and freaking out with sparse expressions far away with a washed out character. Read
groaning,Voice,153,9,"Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response."
shuffling,未分类,152,4,Action of rapidly shuffling a deck of plastic cards.
object,未分类,150,17,Short yet potent burst of white noise reminiscent of a small object bouncing.
magical,Mood,150,9,"Light, sharp accent with a magical descending effect."
feedback,未分类,149,9,Sharp accent characterised by delay time modulation feedback.
rolling,Movement,149,22,Dropping big metallic piece on wooden surface. Some clanging and rolling.
descending,未分类,148,20,Bell gracefully descending in pitch.
rock,未分类,148,10,"PROCESSED RUPTURE Heavy rattling and shaking, similar to rock being demolished."
speed,未分类,147,24,"Plastic, Inflation. Airy, steady, continuous and slightly tonal breathing with varying speed and intensity. Mono, Sanken"
top,未分类,147,15,SYNTHETIC HIT LOW Heavy thud with crackling and crumbling element on top.
painful,未分类,145,4,"Wood, Instrument, Friction. High, painful moaning and screeching with varying pitch. Mono, Sanken Co100K high frequency "
characterised,未分类,144,3,"Gleaming effect characterised by a frequency shift, glass scrape, and pitch delay."
snappy,Attack,144,23,Tonal sound with snappy sine reverser.
textures,未分类,144,14,Low-frequency whoosh characterised by bubbling or swirling textures.
snapping,未分类,142,22,"Brief, sharp snapping impact with a burst of static."
ascending,未分类,142,14,Delightful sound of a bell ascending in pitch.
rocks,未分类,142,7,"Soft, short movement of pile of rocks and stone. Some dropping debris."
digital,未分类,142,10,Digital tick sound associated with confirming or accepting an action.
gentle,Intensity,141,13,Extended motion noise with a gentle whoosh and filter modulation.
wind,未分类,139,20,Extended motioned whoosh with artificial wind gust and parallel filter modulation.
piercing,未分类,138,23,"Piercing, high-pitched metallic impact fused with a synthesized effect."
firing,未分类,138,7,"Antique artillery bombardment, multiple historic cannons firing in sequence. XY positioned 100m away from cannons."
thump,未分类,137,13,"Deep, resonant thump combined with a burst of static noise."
swish,未分类,137,13,Hand rubbing against a surface with a double swish movement.
orc,未分类,136,2,"Orc, Ogre, Cyclops, Fantasy. Female voice, growling aggressively. Mono, Sanken Co100K high frequency response."
afar,未分类,136,1,A squad of 10 women whining and whimpering. Recorded in an open field  with a Hammerhead setup from afar.
slimy,Texture,135,8,"Moan. Slimy, slightly tonal moaning and screeching. Mono, Sanken Co100K high frequency response."
crisp,Texture,134,16,"Crisp, quivering impact noise with a rising white noise effect."
inward,未分类,134,3,"Slow, inward facing whoosh with heavy low and intense high elements."
forth,未分类,132,17,Sliding forth and back leading into hit with ringing.
mixed,未分类,131,5,Moving metallic pieces on pile of mixed wood. Long action with some ringing.
extraterrestrial,未分类,130,2,"Extraterrestrial, Creature, Monster. Deep, threatening growling with harsh, tonal chirping."
ogre,未分类,130,2,"Orc, Ogre, Cyclops, Fantasy. Female voice, growling aggressively. Mono, Sanken Co100K high frequency response."
cyclops,未分类,130,2,"Orc, Ogre, Cyclops, Fantasy. Female voice, growling aggressively. Mono, Sanken Co100K high frequency response."
shimmer,未分类,127,13,"High-pitched, glassy shimmer with a noisy undertone."
loud,Intensity,126,19,"Very short, deep, and loud grunting."
shifting,未分类,125,19,Belltree sound with frequency shifting effects.
beater,未分类,124,3,"Violin bow pressed against cardboard and carpet beater aggressively. Long creaks, as if material tears"
brief,Duration,123,9,"Small, crunchy impact noise accompanied by a brief burst of static."
bell,未分类,123,14,Delightful sound of a bell ascending in pitch.
gun,未分类,123,13,"SYNTHETIC FRACTION Shooting screech, like from a laser gun."
boy,未分类,123,1,Three months old baby boy babbling and mumbling continuously. Long sequence.
calm,Mood,122,6,"Wild, Marine, Mammal. Calm groaning with hard snorts at the end. Mono, Sanken Co100K high frequency response."
tonally,未分类,122,5,"Multiple, tonally clanging impacts."
past,未分类,122,6,A squad of 10 women performing a horrendous war scream while running past the microphones. Left to right. Recorded in an
whining,Pitch,120,9,"Vacuum cleaner sucking in air with a balloon friction. Short, whining and tonal."
intense,Intensity,119,22,"Domestic, Farm, Mammal. Intense braying, shrieking and moaning. Very long sequences. Mono, Sanken Co100K high frequency "
filter,未分类,119,14,Rapid motion with a filter slash effect.
rough,Texture,119,14,"Rough, textured jiggle with a delayed effect."
explosion,未分类,119,20,Extended explosion noise reminiscent of a cannon blast.
character,未分类,118,16,"Playful, repetitive sharp accent characterised by a bubbly character."
fire,未分类,118,14,"SYNTHETIC RUPTURE Short and deep growl, resembling fire whirl."
blowing,未分类,117,8,"PROCESSED SCREECH LONG Distorted and continuous buzzing, similar to blowing into a trumpet."
suppressed,未分类,117,1,SUPPRESSED ASSAULT RIFLE Caliber 7.62x39mm. Tight and bright shot sound with high mechanic elements. Soft tail.
farm,未分类,116,1,"Domestic, Farm, Mammal. Excited braying and shrieking. Very long sequences. Mono, Sanken Co100K high frequency response."
constant,未分类,116,19,Constant glimmering with granular texture.
steel,未分类,116,5,Steel ball of 14 kilograms being dropped onto dirt consisting of bark and mulch. Deep and dull hit.
exhaling,未分类,115,10,"Instrument. Airy, resonant exhaling with fast, subtle fluttering. Mono, Sanken Co100K high frequency response."
wobble,未分类,115,14,Light tonal ping sound with a wobble effect.
cloth,Material,115,11,Textile being unfold leading into soft impact with lots of rustling cloth.
far,未分类,115,2,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to
alien,Mood,113,8,Slow pass by movement with lots of heavy low elements as well as glassy and zapping elements on top and ending with reve
crescendo,未分类,113,5,Reverse shimmer climax with crescendo sweep and tonal spike.
wobbling,Movement,112,19,Processed Glockenspiel with wobbling tail.
range,未分类,112,12,Sharp accent characterised by a low mid-range filter of bubbles.
ring,未分类,112,16,Metallic chain being dropped with tonal ring out.
spirit,未分类,112,4,"Ghoul, Zombie, Skeleton, Undead, Mummy, Ghost, Spirit, Paranormal. Female voice, raspy snarling. Mono, Sanken Co100K hig"
fired,未分类,110,6,"PROCESSED HIT HIGH Short and textured hit, like shot fired."
sparse,Shape,110,2,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to
bass,Pitch,109,19,"Wild. Very low, booming, bass heavy thumping sequences. Mono, Sanken Co100K high frequency response."
organic,Texture,109,10,"Organic, Vibration. Tonal, slightly raspy moaning and screeching with varying pitch. Mono, Sanken Co100K high frequency "
splashing,Liquid,109,13,"Force Cup. Wet, resonant impacts with splashing at the end. Mono, Sanken Co100K high frequency response."
creature,未分类,109,9,"Extraterrestrial, Creature, Monster. Deep, threatening growling with harsh, tonal chirping."
dynamic,未分类,109,14,Dynamic burst of white noise immersed in room reverberation.
bubbles,未分类,109,14,"Sharp accent featuring descending filter bubbles with a hard, impactful effect."
poof,未分类,109,5,Brief explosion noise reminiscent of a muted poof.
clanging,未分类,109,11,"PROCESSED FRACTION Hard and deep smacks, with some clanging."
against,未分类,109,9,Rattling made by quickly rolling gear against wood.
coming,未分类,109,8,"Playful lip smack, characterized by the sound of lips coming together."
zapping,未分类,109,13,Neutral and generic zapping whimsical spellcast.
length,未分类,108,15,"SYNTHETIC SCREECH LONG High, piercing tone with frequency modulation. Variation differ in length."
around,未分类,108,17,"SYNTHETIC MOVEMENT CONTINUOUS Wet and hard rattle like sound, like a large creature rapidly moving around in water."
while,未分类,108,13,Action of wiping cards across a table surface while shuffling.
ghost,未分类,108,2,"Ghoul, Zombie, Skeleton, Undead, Mummy, Ghost, Spirit, Paranormal. Female voice, raspy snarling. Mono, Sanken Co100K hig"
